"ID","NAME","NUMB","TYPE","CLOSED","ADDRESS","OKRUG","RAYON","COMPLEX_ID","RATING","STUDENTS_2014","STUDENTS_2015","STUDENTS_2016","STUDENTS_PROJECT_CATCHMENT","STUDENTS_PROJECT_COMPLEX","STUDENTS_PROJECT_SNIP","DIST_TO_CENTER"
11029,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №917",917,"школа",FALSE,"107241, г. Москва, Щелковское ш., д. 29, стр.1","ВАО","Гольяново",653,,380,394,394,629,503,194,11836.9258144544
11030,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №918",918,"школа",FALSE,"109383, г. Москва, ул. Полбина, д. 68, стр. 1","ЮВАО","Печатники",843,,324,359,364,1010,404,594,11309.8305142297
11031,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №919 имени Маршала Советского Союза С.К.Куркоткина",919,"школа",FALSE,"109386, г. Москва, ул. Краснодарская, д. 25, корп. 2","ЮВАО","Люблино",494,,626,634,644,916,849,706,11725.1785616585
11033,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №92",92,"школа",FALSE,"123098, г. Москва, ул. Живописная, д. 32","СЗАО","Щукино",133,,620,618,646,0,1248,603,11182.4222718204
11034,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №920",920,"школа",FALSE,"111141, Москва, ул. Перовская, д.37","ВАО","Перово",682,,568,574,586,1006,755,556,9980.44498485321
11035,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №850",850,"школа",FALSE,"117405 г. Москва, ул. Газопровод, дом 5а","ЮАО","Чертаново Южное",338,,680,710,732,0,745,810,18007.1166867131
11036,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №924",924,"школа",FALSE,"117405 г. Москва, ул. Газопровод, дом 5а","ЮАО","Чертаново Южное",338,177,680,710,732,1489,745,589,18089.3536210289
11037,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №929",929,"школа",FALSE,"127434, г. Москва, улица Немчинова, дом 8","САО","Тимирязевский",174,,538,530,1203,1414,1414,1050,8494.23777421618
11038,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №930",930,"школа",FALSE,"117321, г. Москва, ул. Островитянова, дом 18, к. 5","ЮЗАО","Тёплый Стан",571,,622,641,653,0,841,974,15136.9937248283
11039,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №931",931,"школа",FALSE,"117465, г. Москва, ул. Генерала Тюленева, дом 19","ЮЗАО","Тёплый Стан",523,,503,534,556,0,595,550,17017.9636160596
11040,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №881",881,"школа",FALSE,"117534 Москва, Чертановская ул. д.62 А","ЮАО","Чертаново Южное",339,,388,382,375,0,697,821,17088.0982545382
11041,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №932",932,"школа",FALSE,"117534 Москва, Чертановская ул. д.62 А","ЮАО","Чертаново Южное",339,341,388,382,375,1394,697,627,17323.410999761
11042,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №933",933,"школа",FALSE,"117546, г. Москва, ул. Медынская, д. 9А","ЮАО","Бирюлёво Западное",326,260,581,595,618,2084,1250,948,19220.6615388309
11043,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №928",928,"школа",FALSE,"117546, г. Москва, ул. Медынская, д. 9А","ЮАО","Бирюлёво Западное",326,,581,595,618,0,1250,945,19047.8246196393
11044,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №935",935,"школа",FALSE,"115598 г. Москва,ул.Липецкая,15,к.2","ЮАО","Бирюлёво Восточное",378,,652,679,697,1131,565,754,19670.1836883399
11045,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа здоровья» №578",578,"школа",FALSE,"115569 г. Москва, ул. Маршала Захарова,д.25,к.2","ЮАО","Орехово-Борисово Северное",329,,692,739,750,0,916,442,15804.3255576536
11046,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №937 имени Героя Российской Федерации А.В. Перова",937,"школа",FALSE,"115569 г. Москва, ул. Маршала Захарова,д.25,к.2","ЮАО","Орехово-Борисово Северное",329,264,692,739,750,1832,916,401,15817.718405643
11047,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №941",941,"школа",FALSE,"115372,  Москва,  ул. Лебедянская, дом 14, кор.3","ЮАО","Бирюлёво Восточное",365,,835,891,925,0,1274,1013,19147.8201242306
11048,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №942",942,"школа",FALSE,"115547 г. Москва, Загорьевский пр., д. 7, к.3","ЮАО","Бирюлёво Восточное",368,,421,484,558,971,485,491,20107.6927532885
11049,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №945",945,"школа",FALSE,"115573 г. Москва, Ореховый бульвар, д.37 корп.4","ЮАО","Зябликово",852,,495,568,602,1148,811,543,17084.2356386679
11050,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №947",947,"школа",FALSE,"115372 г. Москва, ул. Лебедянская д.16","ЮАО","Бирюлёво Восточное",365,334,835,891,925,2365,1274,1117,19121.7709762728
11052,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №948",948,"школа",FALSE,"115598 г. Москва, ул. Лебедянская, дом 26 корп.4","ЮАО","Бирюлёво Восточное",378,381,652,679,697,0,565,1040,19472.1916321536
11053,"Государственное бюджетное образовательное учреждение города Москвы центр образования «Школа здоровья» №987",987,"центр образования",FALSE,"115597 г. Москва, ул. Воронежская, дом 46 корп.3","ЮАО","Орехово-Борисово Южное",336,,646,673,696,0,963,769,18130.022866305
11054,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №949",949,"школа",FALSE,"115597 г. Москва, ул. Воронежская, дом 46 корп.3","ЮАО","Орехово-Борисово Южное",336,325,646,673,696,1444,963,907,18180.1449460522
11055,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №950",950,"школа",FALSE,"127273, город Москва, улица Отрадная, дом 1 А","СВАО","Отрадное",282,,506,481,471,529,664,760,11900.5817310441
11056,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №951",951,"школа",FALSE,"","СВАО","Северное Медведково",262,,429,427,426,1274,993,1274,15790.166191137
11057,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №952",952,"школа",FALSE,"127562 г. Москва, ул. Декабристов, дом 8, корпус. 4","СВАО","Отрадное",289,,780,806,1818,0,766,809,12315.0167468822
11058,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №954",954,"школа",FALSE,"127543, г. Москва, ул. Корнейчука, д. 37А","СВАО","Бибирево",250,,565,584,615,0,633,599,15785.5536099932
