"ID","DRIVE_DURATION","DRIVE_DISTANCE"
"1260","351","2673"
"1261","326","2216"
"1262","290","2057"
"1263","296","2049"
"1264","307","2102"
"1265","312","1890"
"1266","307","2039"
"1267","287","1932"
"1268","298","2018"
"1269","281","1868"
"1270","357","3025"
"1271","348","2995"
"1272","370","3099"
"1273","379","3264"
"1274","394","3178"
"1275","381","3119"
"1276","312","2151"
"1277","330","2175"
"1278","441","3588"
"1279","428","3601"
"1280","353","2917"
"1281","311","2729"
"1282","404","2880"
"1283","420","2933"
"1284","431","2984"
"1285","292","2362"
"1286","256","2026"
"1287","255","2022"
"1288","250","1974"
"1289","251","1975"
"1290","255","2064"
"1291","272","2263"
"1292","298","2377"
"1293","313","2445"
"1294","260","2040"
"1295","264","2168"
"1296","264","2167"
"1297","462","4975"
"1298","437","3373"
"1299","423","3294"
"1300","455","3452"
"1301","448","3402"
"1302","399","3345"
"1303","404","3363"
"1304","294","2184"
"1305","274","2093"
"1306","262","2033"
"1307","252","1918"
"1308","252","1688"
"1309","230","1557"
"1310","236","1622"
"1311","236","1684"
"1312","241","1688"
"1313","274","2050"
"1314","500","4810"
"1315","253","1953"
"1316","249","1957"
"1317","267","2054"
"1318","266","2037"
"1319","266","2037"
"1320","253","1948"
"1321","266","2123"
"1322","282","2293"
"1323","271","2244"
"1324","297","2343"
"1325","272","1337"
"1326","491","5114"
"1327","479","5055"
"1328","413","3171"
"1329","417","3193"
"1330","414","3150"
"1331","412","3005"
"1332","373","3172"
"1333","373","3172"
"1334","541","4111"
"1335","479","3509"
"1336","513","3848"
"1337","462","3427"
"1338","514","4367"
"1339","506","3814"
"1340","481","3644"
"1341","486","3654"
"1342","501","3698"
"1343","475","3532"
"1344","458","3555"
"1345","458","3488"
"1346","492","4200"
"1347","512","4212"
"1348","464","3489"
"1349","477","3516"
"1350","471","3329"
"1351","454","3384"
"1352","484","3397"
"1353","469","3322"
"1354","456","3283"
"1355","466","3334"
"1356","426","3173"
"1357","442","3110"
"1358","431","3000"
"1359","428","2981"
"1360","495","4152"
"1361","527","4316"
"1362","418","2930"
"1363","472","3288"
"1364","457","3234"
