OBJECTID;ADDRESS;settlement;street;building_n;geocoded;POINT_X;POINT_Y;ID;NEAR_FID;NEAR_DIST;NEAR_X;NEAR_Y
1322;Москва, Гарибальди ул, д.21, корп.1; ; ; ;Россия, Москва, улица Гарибальди, 21к1;37.550926;55.672726;15362;1695;0.001079;37.551041;55.6738
1323;Москва, Гарибальди ул, д.21, корп.2; ; ; ;Россия, Москва, улица Гарибальди, 21к2;37.551779;55.673108;15363;1695;0.001012;37.551041;55.6738
1324;Москва, Гарибальди ул, д.21, корп.3; ; ; ;Россия, Москва, улица Гарибальди, 21к3;37.552606;55.67291;15364;1695;0.0018;37.551041;55.6738
1325;Москва, Гарибальди ул, д.21, корп.4; ; ; ;Россия, Москва, улица Гарибальди, 21к4;37.552461;55.672193;15365;1695;0.002144;37.551041;55.6738
1326;Москва, Гарибальди ул, д.21, корп.5; ; ; ;Россия, Москва, улица Гарибальди, 21к5;37.551563;55.671909;15366;1695;0.001961;37.551041;55.6738
1327;Москва, Гарибальди ул, д.21, корп.6; ; ; ;Россия, Москва, улица Гарибальди, 21к6;37.551599;55.672487;15367;1695;0.001426;37.551041;55.6738
1328;Москва, Гарибальди ул, д.23, корп.1; ; ; ;Россия, Москва, улица Гарибальди, 23к1;37.553414;55.672656;15368;1695;0.002635;37.551041;55.6738
1329;Москва, Гарибальди ул, д.23, корп.2; ; ; ;Россия, Москва, улица Гарибальди, 23к2;37.553406;55.672157;15369;1695;0.002879;37.551041;55.6738
1330;Москва, Гарибальди ул, д.23, корп.3; ; ; ;Россия, Москва, улица Гарибальди, 23к3;37.554124;55.672367;15370;1695;0.003399;37.551041;55.6738
1331;Москва, Гарибальди ул, д.23, корп.5; ; ; ;Россия, Москва, улица Гарибальди, 23к5;37.55487;55.672128;15371;1695;0.004178;37.551041;55.6738
1332;Москва, Нахимовский пр-кт, д.59; ; ; ;Россия, Москва, Нахимовский проспект, 59;37.560061;55.678356;15372;1081;0.002973;37.562045;55.680573
1333;Москва, Нахимовский пр-кт, д.61; ; ; ;Россия, Москва, Нахимовский проспект, 61;37.559926;55.67892;15373;1081;0.002686;37.562045;55.680573
1334;Москва, Нахимовский пр-кт, д.61, корп.1; ; ; ;Россия, Москва, Нахимовский проспект, 61к1;37.559145;55.678579;15374;656;0.003511;37.556594;55.676168
1335;Москва, Нахимовский пр-кт, д.61, корп.2; ; ; ;Россия, Москва, Нахимовский проспект, 61к2;37.559046;55.678944;15375;1081;0.003411;37.562045;55.680573
1336;Москва, Нахимовский пр-кт, д.61, корп.3; ; ; ;Россия, Москва, Нахимовский проспект, 61к3;37.558472;55.678621;15376;656;0.003089;37.556594;55.676168
1337;Москва, Нахимовский пр-кт, д.61, корп.4; ; ; ;Россия, Москва, Нахимовский проспект, 61к4;37.558076;55.677696;15377;656;0.00213;37.556594;55.676168
1338;Москва, Нахимовский пр-кт, д.61, корп.5; ; ; ;Россия, Москва, Нахимовский проспект, 61к5;37.557609;55.677275;15378;656;0.001502;37.556594;55.676168
1339;Москва, Нахимовский пр-кт, д.61, корп.6; ; ; ;Россия, Москва, Нахимовский проспект, 61к6;37.557142;55.676843;15379;656;0.00087;37.556594;55.676168
1340;Москва, Нахимовский пр-кт, д.63; ; ; ;Россия, Москва, Нахимовский проспект, 63;37.558947;55.67956;15380;1081;0.003258;37.562045;55.680573
1341;Москва, Нахимовский пр-кт, д.63, корп.1; ; ; ;Россия, Москва, Нахимовский проспект, 63к1;37.557923;55.679595;15381;656;0.003676;37.556594;55.676168
1342;Москва, Нахимовский пр-кт, д.63, корп.2; ; ; ;Россия, Москва, Нахимовский проспект, 63к2;37.557591;55.679133;15382;656;0.003128;37.556594;55.676168
1343;Москва, Нахимовский пр-кт, д.63, корп.3; ; ; ;Россия, Москва, Нахимовский проспект, 63к3;37.556604;55.678716;15383;656;0.002549;37.556594;55.676168
1344;Москва, Нахимовский пр-кт, д.65; ; ; ;Россия, Москва, Нахимовский проспект, 65;37.55786;55.680204;15384;1081;0.0042;37.562045;55.680573
1345;Москва, Нахимовский пр-кт, д.67; ; ; ;Россия, Москва, Нахимовский проспект, 67;37.556827;55.680793;15385;1624;0.00458;37.554385;55.676918
1346;Москва, Нахимовский пр-кт, д.67, корп.1; ; ; ;Россия, Москва, Нахимовский проспект, 67к1;37.5569;55.680178;15386;656;0.004022;37.556594;55.676168
1347;Москва, Нахимовский пр-кт, д.67, корп.2; ; ; ;Россия, Москва, Нахимовский проспект, 67к2;37.556666;55.679702;15387;656;0.003534;37.556594;55.676168
1348;Москва, Нахимовский пр-кт, д.67, корп.3; ; ; ;Россия, Москва, Нахимовский проспект, 67к3;37.556064;55.68066;15388;1624;0.004102;37.554385;55.676918
1349;Москва, Нахимовский пр-кт, д.67, корп.4; ; ; ;Россия, Москва, Нахимовский проспект, 67к4;37.555695;55.680123;15389;1624;0.003462;37.554385;55.676918
1350;Москва, Профсоюзная ул, д.28/53; ; ; ;Россия, Москва, Профсоюзная улица, 28/53;37.561104;55.677747;15390;1081;0.002978;37.562045;55.680573
