ID	ELEMENT_ID	ADDRESS
312	232	Москва, ул. Народного Ополчения, д. 27, корп.2
313	233	Москва, Генерала Карбышева бульв., д. 10, корп.4
314	233	Москва, Маршала Жукова просп., д.34
315	234	Москва, ул. Вилиса Лациса, д. 33, корп.2
316	235	Москва, ул. Вилиса Лациса, д. 37, корп.2
317	236	Москва, ул. Маршала Новикова, д. 13
318	236	Москва, ул. Маршала Василевского, д.3, корп.2
319	236	Москва, ул. Маршала Василевского, д.11, корп.2
320	236	Москва, ул. Академика Бочвара, д. 4
321	237	Москва, ул. Маршала Новикова, д. 4, корп.3
322	237	Москва, ул. Маршала Василевского, д. 11, корп.6
323	238	Москва, Новотушинский пр., д. 8, корп.2
324	239	Москва, Пятницкое ш., д. 16, корп.5
325	240	Москва, ул. Б. Набережная, д. 23
326	241	Москва, ул. Подмосковная, домовладение 3, корп.1
327	242	Москва, ул. Свободы, домовладение 4, корп.3
328	243	Москва, ул. Твардовского, д. 20
329	244	Москва, Строгинский бульв., д. 14, корп.6
330	245	Москва, ул. Барышиха, д. 32
331	245	Москва, ул. Барышиха, д. 32, корп.2
332	246	Москва, ул. Барышиха, д. 34, корп.1
333	247	Москва, Генерала Карбышева бульв., д. 24, корп.2
334	248	Москва, Генерала Карбышева бульв., д. 16, корп.3
335	249	Москва, ул. Барышиха, д. 20, корп.1
336	250	Москва, ул. Барышиха, д. 15, корп.1
337	251	Москва, ул. Нелидовская, д. 10, корп.1
338	252	Москва, ул. Фабрициуса, д. 32, корп.2
339	253	Москва, ул. Сходненская, д. 48
340	254	Москва, ул. Планерная, д. 14, корп.4
341	255	Москва, ул. Планерная, д. 16, корп.7
342	256	Москва, ул. Планерная, д. 12, корп.7
343	257	Москва, Волоколамский пр., домовл. 5, корп.3
344	258	Москва, Волоколамское ш., д. 88, корп.9, стр.3
345	259	Москва, Волоколамское ш., д. 88, корп.2
346	260	Москва, Карамышевская наб., д. 26, корп.2
347	260	Москва, Карамышевская наб., д. 18, корп.2
348	261	Москва, Маршала Жукова просп., домовл. 19, корп.2
349	262	Москва, ул. Демьяна Бедного, д. 1, корп.4
350	263	Москва, ул. Маршала Соколовского, д. 8
351	263	Москва, ул. Маршала Соколовского, д. 13
352	264	Москва, ул. Расплетина, д. 7
353	265	Москва, ул. Расплетина, д. 34
354	266	Москва, ул. Авиационная, д.23
355	266	Москва, ул. Щукинская, д. 16/18
356	267	Москва, Маршала Жукова просп., д. 43, корп.4
357	268	Москва, ул. Народного Ополчения, д. 10, корп.3
358	268	Москва, ул. Адиля Саляма, д.11, корп.1
359	269	Москва, Маршала Жукова просп., д. 49, корп.2
360	270	Москва, Маршала Жукова просп., д. 53, корп.2
361	271	Москва, ул. Туристская, д. 19, корп.6
362	272	Москва, Яна Райниса бульв., д. 18, корп.3
363	273	Москва, Яна Райниса бульв., д. 18, корп.2
364	274	Москва, Пятницкое ш., д. 16, корп.3
365	275	Москва, Пятницкое ш., д. 6, корп.5
366	276	Москва, Пятницкое ш., д. 6, корп.8
367	277	Москва, ул. Маршала Катукова, д. 21, корп.2
368	278	Москва, Строгинский бульв., д. 7, корп.4
369	279	Москва, ул. Исаковского, д. 22, корп.3
370	280	Москва, ул. Исаковского, д.24, корп.3
371	281	Москва, ул. Маршала Катукова, д. 15, корп.3
372	282	Москва, ул. Исаковского, д.16, корп.3
373	283	Москва, ул. Героев Панфиловцев, д. 35, корп.
374	284	Москва, Яна Райниса бульв., д. 30, корп.2
375	285	Москва, ул. Туристская, д. 27, корп.3
376	286	Москва, ул. Маршала Тухачевского, д. 17, корп.3
377	287	Москва, Новохорошевский пр., д. 12
378	288	Москва, Новохорошевский пр., д. 6
379	288	Москва, Новохорошевский пр., д. 11
380	289	Москва, ул. Свободы, д. 42, корп.2
381	290	Москва, ул. Фабрициуса, д. 6, корп.2
382	291	Москва, ул. Фабрициуса, д. 10, корп.2
383	292	Москва, ул. Свободы, д. 51, корп.4
384	293	Москва, ул. Свободы, д. 51
385	294	Москва, ул. Свободы, д. 40
386	295	Москва, ул. Свободы, д. 44, корп.2
387	296	Москва, ул. Фомичёвой, д. 12, корп.2
388	297	Москва, ул. Фомичёвой, д. 16, корп.4
389	298	Москва, ул. Исаковского, д. 22, корп.2
390	299	Москва, ул. Исаковского, д. 10, корп.2
391	300	Москва, ул. Штурвальная, д. 6, корп.1
392	301	Москва, ул. Свободы, д. 51, корп.3
393	302	Москва, Донелайтиса пр., д. 16
394	303	Москва, Яна Райниса бульв., д. 35, корп.1
395	304	Москва, ул. Туристская, д. 7, корп.2
396	305	Москва, ул. Таллинская, д. 19, корп.2
397	306	Москва, ул. Таллинская, д. 11, корп.2
398	307	Москва, Тепличный пер., д. 5, корп.1
