ID	COMPLEX_ID	ADDRESS
347	70	Москва, Волоколамское ш., д. 88, корп.9, стр.3
348	70	Москва, Волоколамское ш., д. 88, корп.2
349	71	Москва, Карамышевская наб., д. 26, корп.2
350	71	Москва, Карамышевская наб., д. 18, корп.2
351	71	Москва, Маршала Жукова просп., домовл. 19, корп.2
352	71	Москва, ул. Демьяна Бедного, д. 1, корп.4
353	72	Москва, ул. Маршала Соколовского, д. 8
354	72	Москва, ул. Маршала Соколовского, д. 13
355	72	Москва, ул. Расплетина, д. 7
356	72	Москва, ул. Расплетина, д. 34
357	72	Москва, ул. Авиационная, д.23
358	72	Москва, ул. Щукинская, д. 16/18
359	73	Москва, Маршала Жукова просп., д. 43, корп.4
360	73	Москва, ул. Народного Ополчения, д. 10, корп.3
361	73	Москва, ул. Адиля Саляма, д.11, корп.1
362	73	Москва, Маршала Жукова просп., д. 49, корп.2
363	73	Москва, Маршала Жукова просп., д. 53, корп.2
364	74	Москва, ул. Туристская, д. 19, корп.6
365	74	Москва, Яна Райниса бульв., д. 18, корп.3
366	74	Москва, Яна Райниса бульв., д. 18, корп.2
367	75	Москва, Пятницкое ш., д. 16, корп.3
368	75	Москва, Пятницкое ш., д. 6, корп.5
369	75	Москва, Пятницкое ш., д. 6, корп.8
370	76	Москва, ул. Маршала Катукова, д. 21, корп.2
371	76	Москва, Строгинский бульв., д. 7, крп.4
372	76	Москва, ул. Исаковского, д. 22, корп.3
373	76	Москва, ул. Исаковского, д.24, корп.3
374	76	Москва, ул. Маршала Катукова, д. 15, корп.3
375	76	Москва, ул. Исаковского, д.16, корп.3
376	77	Москва, ул. Героев Панфиловцев, д. 35, корп.2
377	77	Москва, Яна Райниса бульв., д. 30, корп.2
378	77	Москва, ул. Туристская, д. 27, корп.3
379	78	Москва, ул. Маршала Тухачевского, д. 17, корп.3
380	78	Москва, Новохорошевский пр., д. 12
381	78	Москва, Новохорошевский пр., д. 6
382	78	Москва, Новохорошевский пр., д. 11
383	79	Москва, ул. Свободы, д. 42, корп.2
384	79	Москва, ул. Фабрициуса, д. 6, корп.2
385	79	Москва, ул. Свободы, д. 51, корп.4
386	79	Москва, ул. Свободы, д. 51
387	79	Москва, ул. Свободы, д. 40
388	79	Москва, ул. Свободы, д. 44, корп.2
389	79	Москва, ул. Фабрициуса, д. 10, корп.2
390	80	Москва, ул. Фомичёвой, д. 12, корп.2
391	80	Москва, ул. Фомичёвой, д. 16, корп.4
392	81	Москва, ул. Исаковского, д. 22, корп.2
393	81	Москва, ул. Исаковского, д. 10, корп.2
394	82	Москва, ул. Штурвальная, д. 6, корп.1
395	82	Москва, ул. Свободы, д. 51, корп.3
396	83	Москва, Донелайтиса пр., д. 16
