OBJECTID;ID;NAME;NUMB;TYPE;CURRENT_USE;ADDRESS;OKRUG;RAYON;COMPLEX_ID
820;653;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №468;468;школа;;109457, г. Москва, ул. Федора Полетаева, д. 2, корп. 8;ЮВАО;Кузьминки;415
821;654;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №469;469;школа;;109044, г.Москва, Крутицкий вал, дом 5;ЮВАО;Южнопортовый;496
822;655;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №475;475;школа;;109390, г. Москва, ул. Люблинская, д. 45;ЮВАО;Текстильщики;434
824;656;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №478;478;школа;средняя школа;109125, г. Москва, ул. Саратовская, дом 16а;ЮВАО;Текстильщики;446
825;657;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №479 имени дважды Героя Советского Союза Маршала В.И. Чуйкова;479;школа;;109443, г. Москва, ул. Юных Ленинцев, д. 68, корп. 2;ЮВАО;Кузьминки;475
826;658;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №480 имени В.В.Талалихина;480;школа;;109029 г. Москва, ул. Средняя Калитниковская , д.22 стр.1;ЦАО;Таганский;46
827;659;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №481 имени Маршала Советского Союза И.Х. Баграмяна;481;школа;;109052,г. Москва, улица Нижегородская, дом 67;ЮВАО;Нижегородский;499
828;660;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №484 имени дважды Героя Советского Союза В.И.Попкова;484;школа;;109129, г. Москва, 11-я ул. Текстильщиков, дом 6;ЮВАО;Текстильщики;480
829;661;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №485;485;школа;;115193, г. Москва, 3-й Кожуховский проезд, д. 3а;ЮВАО;Южнопортовый;448
831;662;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №489;489;школа;;109518, г. Москва, Волжский бульвар, д. 6, корпус 3;ЮВАО;Текстильщики;464
832;663;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №49;49;школа;начальная школа;117279, г.Москва, ул.Генерала Антонова, дом 4 А;ЮЗАО;Коньково;543
833;663;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №49;49;школа;средняя школа;117279, г.Москва, ул.Генерала Антонова, дом 4 А;ЮЗАО;Коньково;543
834;664;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №492;492;школа;начальная школа;115407 г. Москва,ул. Затонная,д.7,к.3;ЮАО;Нагатинский Затон;332
835;664;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №873;873;школа;средняя школа;115407 г. Москва,ул. Затонная,д.7,к.3;ЮАО;Нагатинский Затон;332
836;665;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №493;493;школа;;109235, г. Москва, 1 Курьяновский проезд, дом 14;ЮВАО;Печатники;843
840;666;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №494;494;школа;;115432 г. Москва,ул..Лобанова, д.3;ЮАО;Даниловский;321
845;666;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №502 имени Героя Российской Федерации А.Н. Рожкова;502;школа;;115432 г. Москва,ул..Лобанова, д.3;ЮАО;Даниловский;321
841;666;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №505;505;школа;;115432 г. Москва,ул..Лобанова, д.3;ЮАО;Даниловский;321
846;667;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №495;495;школа;начальная школа;109651, Москва, ул. Подольская, д.15;ЮВАО;Марьино;462
847;668;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №498;498;школа;;115172 г.Москва, ул.Народная, д.11/2;ЦАО;Таганский;33
848;669;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №499;499;школа;средняя школа;109651, г. Москва, Батайский проезд, дом 23;ЮВАО;Марьино;462
849;670;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №5;5;школа;;117638, г. Москва, улица Сивашская, дом 2, корпус 1;ЮЗАО;Зюзино;570
850;671;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №508;508;школа;;115404, г. Москва, Элеваторная, д.4, к.2;ЮАО;Бирюлёво Восточное;363
851;672;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №509;509;школа;;115193, г. Москва, 6-я Кожуховская ул., д. 8;ЮВАО;Южнопортовый;448
1113;673;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №51;51;школа;;117513, г.Москва, Ленинский пр-т, дом 125, корп.4;ЮЗАО;Тёплый Стан;931
852;674;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №510;510;школа;;115551 г. Москва, Ореховый Бульвар д.3;ЮАО;Орехово-Борисово Северное;377
853;675;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №511;511;школа;;115409 г.Москва, ул.Москворечье, 39;ЮАО;Москворечье-Сабурово;383
1114;677;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №515;515;школа;;113556 г. Москва, ул. Артековская д. 3;ЮАО;Нагорный;849
854;678;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №516;516;школа;;117149, г. Москва, ул. Одесская, д. 13;ЮЗАО;Зюзино;570
855;679;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №517;517;школа;;117186, город Москва, Нахимовский проспект, дом 10;ЮЗАО;Котловка;583
