"OBJECTID";"ID";"NAME";"NUMB";"TYPE";"CURRENT_USE";"CLOSED";"ADDRESS";"OKRUG";"RAYON";"COMPLEX_ID";"RATING"
224;10290,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа здоровья» №1321 «Ковчег»";1321,000000;"школа";"";"FALSE";"111024, г.Москва Авиамоторная ул., д. 30а";"ЮВАО";"Лефортово";487,000000;0,000000
225;10292,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа здоровья» №137";137,000000;"школа";"";"FALSE";"119331, г. Москва, улица Кравченко, дом 14, корпус 1";"ЮЗАО";"Ломоносовский";587,000000;0,000000
226;10293,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа здоровья» №1693 имени 1-й дивизии народного ополчения Москвы";1693,000000;"школа";"";"FALSE";"117463, г. Москва, улица Паустовского, дом 6, корпус 2";"ЮЗАО";"Ясенево";580,000000;0,000000
227;10295,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа здоровья» №1959";1959,000000;"школа";"1 - 6 классы";"FALSE";"107341, г. Москва, Перервинский бульвар, д. 16, корп. 1";"ЮВАО";"Марьино";455,000000;0,000000
228;10296,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа здоровья» №1959";1959,000000;"школа";"7 - 11 классы";"FALSE";"107341, г. Москва, Перервинский бульвар, д. 16, корп. 1";"ЮВАО";"Марьино";455,000000;0,000000
229;10297,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа здоровья» №1979";1979,000000;"школа";"";"FALSE";"117041, г.Москва, улица Адмирала Лазарева, дом 40, корпус 2";"ЮЗАО";"Южное Бутово";575,000000;0,000000
230;10298,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа здоровья» №2028";2028,000000;"школа";"";"FALSE";"109548, г. Москва, ул. Гурьянова д. 2, кор. 6";"ЮВАО";"Печатники";497,000000;0,000000
231;10300,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа здоровья» №266";266,000000;"школа";"";"FALSE";"г. Москва, ул. Череповецкая д. 10А";"СВАО";"Лианозово";242,000000;0,000000
232;10301,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа здоровья» №268";268,000000;"школа";"";"FALSE";"129090 г. Москва, ул. Гиляровского., д.21";"ЦАО";"Мещанский";35,000000;0,000000
233;10302,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа здоровья» №27";27,000000;"школа";"";"FALSE";"117593, город Москва, Литовский бульвар, дом 17, корпус 3";"ЮЗАО";"Ясенево";579,000000;0,000000
234;10303,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа здоровья» №29";29,000000;"школа";"";"FALSE";"119607 г.Москва, ул. Удальцова, д. 87, корпус 1";"ЗАО";"Раменки";867,000000;0,000000
235;10304,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа здоровья» №306";306,000000;"школа";"";"FALSE";"129226, г. Москва, ул. Сельскохозяйственная, д. 20, кор.1";"СВАО";"Ростокино";298,000000;0,000000
