"ID","SHAPE_LENGTH","SHAPE_AREA"
404,3970.723375,516972.712395
405,722.973333,20315.235775
406,6524.404951,980745.205606
407,1406.00514,118988.499601
408,1273.181608,95414.068795
409,2727.217816,132659.159024
410,8303.117402,1623219.448897
411,5180.68403,928219.37501
412,2624.714574,288023.074443
413,4860.057999,717630.109586
414,6813.299917,2147972.54799
415,2101.430401,139413.584747
416,5649.00012,1659054.251412
417,1156.134307,47385.090408
418,2498.522976,271482.384243
419,5946.683583,930165.000041
420,2924.069328,391609.12855
421,3146.08652,496771.024678
422,4926.317835,601164.879624
423,6020.121734,1114039.933457
424,1136.914381,64277.293531
425,1244.775326,99242.362771
426,570.80923,10959.20689
427,4261.991372,796369.346892
428,2080.664331,204420.99567
429,965.918907,50073.261151
430,2601.196022,399647.725777
431,6895.920102,1388737.554563
432,3414.685096,253247.106851
433,825.54283,29643.924776
434,2826.895326,341316.217093
435,6294.650267,1171987.524146
436,5593.564701,1473603.544445
437,3502.380418,662712.778424
438,830.446658,42226.714066
439,5894.111338,1682702.43622
440,3794.577353,493031.418351
441,497.53197,13496.468801
442,1283.517729,72844.438553
443,1278.987393,84803.626072
444,1712.410391,124639.118927
445,14102.927994,4636185.25602
446,2686.057222,395071.34115
447,2874.714676,483326.712195
448,627.963523,24579.176219
449,3690.443536,394647.718714
450,1629.09843,152347.966296
451,3378.480993,509627.419435
452,6647.21311,1327394.367183
453,835.507693,39384.040149
454,4608.886097,636989.272309
455,2317.785478,278860.426987
456,1990.007802,177452.448102
457,3918.488271,563168.741658
458,3305.75895,451595.126399
459,203.399622,2571.691227
460,5008.508645,737722.998699
461,4976.247947,1158112.693419
462,3535.071125,712731.019575
463,6265.289417,1969225.771536
464,5816.252704,1151042.544528
465,1608.895814,109450.82631
466,9809.295589,3405261.420723
467,6359.004205,1151558.332906
468,2981.585397,495941.832355
469,3815.070183,651716.787839
470,2604.517051,308206.826597
471,5395.706472,810397.381069
472,1056.116236,56211.957671
473,3535.9046,642535.748791
474,2920.878908,414681.058247
475,3739.807274,383765.549551
476,4071.328472,791182.864562
477,3158.00309,386642.242903
478,4554.564575,1067102.455028
479,3906.518478,318139.592738
480,6331.318515,1206152.264528
481,1942.779139,146472.313385
482,3182.490701,419920.558215
483,4649.088366,767339.970633
484,2091.097522,166153.376706
