"OBJECTID";"ID";"NAME";"NUMB";"TYPE";"CURRENT_USE";"CLOSED";"ADDRESS";"OKRUG";"RAYON";"COMPLEX_ID";"RATING";"POINT_X";"POINT_Y"
66;10153,000000;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1583";1583,000000;"гимназия";"";"FALSE";"125493, г. Москва, улица Смольная, дом 25";"САО";"Головинский";169,000000;91,000000;37,494518;55,849902
67;10154,000000;"Государственное бюджетное образовательное учреждение города Москвы начальная школа-детский сад №1659";1659,000000;"начальная школа";"начальная школа";"FALSE";"121615 г.Москва, Рублевское шоссе, д. 24, корпус 3";"ЗАО";"Кунцево";704,000000;0,000000;37,437140;55,739648
68;10156,000000;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1584";1584,000000;"гимназия";"";"FALSE";"121615 г.Москва, Рублевское шоссе, д. 24, корпус 3";"ЗАО";"Кунцево";704,000000;47,000000;37,428899;55,745363
69;10155,000000;"Государственное бюджетное образовательное учреждение города Москвы прогимназия №1781";1781,000000;"прогимназия";"начальная школа";"FALSE";"121615 г.Москва, Рублевское шоссе, д. 24, корпус 3";"ЗАО";"Кунцево";704,000000;0,000000;37,430137;55,744966
70;10159,000000;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1590";1590,000000;"гимназия";"начальная школа";"FALSE";"125581, г. Москва, ул. Фестивальная, д. 16";"САО";"Ховрино";182,000000;226,000000;37,497294;55,859659
71;10162,000000;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1593";1593,000000;"гимназия";"";"FALSE";"121614 г.Москва, ул. Крылатские холмы, д. 28, корпус 1";"ЗАО";"Крылатское";745,000000;369,000000;37,414652;55,764904
72;10163,000000;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1595";1595,000000;"гимназия";"";"FALSE";"140008, город Москва, 2-я Вольская улица, дом 7, корпус 2";"ЮВАО";"Некрасовка";420,000000;0,000000;37,923170;55,688164
73;10164,000000;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1596";1596,000000;"гимназия";"";"FALSE";"119633 г.Москва, ул. Приречная,д.1";"ЗАО";"Ново-Переделкино";759,000000;0,000000;37,371638;55,641567
74;10165,000000;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1597";1597,000000;"гимназия";"";"FALSE";"109444, г. Москва, ул. Ташкентская, д. 6";"ЮВАО";"Выхино-Жулебино";442,000000;172,000000;37,816312;55,709001
75;10166,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №355";355,000000;"школа";"";"FALSE";"109444, г. Москва, ул. Ташкентская, д. 6";"ЮВАО";"Выхино-Жулебино";442,000000;0,000000;37,823299;55,695092
76;10167,000000;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1599";1599,000000;"гимназия";"";"FALSE";"109457, г. Москва, ул. Зеленодольская, д. 32, корп. 6";"ЮВАО";"Кузьминки";415,000000;170,000000;37,766758;55,711657
77;10168,000000;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1636 «Ника»";1636,000000;"гимназия";"средняя школа";"FALSE";"115583 г. Москва, ул. Воронежская, д.7,к. 2";"ЮАО";"Орехово-Борисово Южное";361,000000;198,000000;37,728366;55,610787
78;10169,000000;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1786";1786,000000;"гимназия";"";"FALSE";"117041, г.Москва, ул. Адмирала Лазарева, д. 77";"ЮЗАО";"Южное Бутово";555,000000;0,000000;37,495755;55,534522
79;10170,000000;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1926";1926,000000;"гимназия";"";"FALSE";"111672, г. Москва, ул. Салтыковская, д. 5А";"ВАО";"Новокосино";636,000000;0,000000;37,860524;55,733219
