"OBJECTID","OBJECTID_OLD","ID","NAME","NUMB","TYPE","CLOSED","ADDRESS","OKRUG","RAYON","COMPLEX_ID","RATING","CATCHEMENT_AREA_STUDENTS"
1111,1468,11214,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранного языка №1232",1232,"школа",FALSE,"121165 г.Москва, Кутузовский проспект, д.28","ЗАО","Дорогомилово",754,259,599.265264
1112,1469,11215,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранного языка №1236",1236,"школа",FALSE,"127254, г. Москва, ул. Яблочкова, дом 10","СВАО","Бутырский",257,278,2667.301864
1342,1770,11216,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранного языка №1243",1243,"школа",FALSE,"125009 г. Москва, М.Кисловский пер., д.12/8","ЦАО","Пресненский",880,205,943.793351
1113,1470,11217,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранного языка №1253",1253,"школа",FALSE,"119021 г.Москва, Зубовский бульвар, д.5, стр.1","ЦАО","Хамовники",26,17,5784.7935
1343,1771,11218,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранного языка №1263",1263,"школа",FALSE,"119071 г. Москва, Ленинский пр., д.18 А","ЮАО","Донской",847,,1977.496993
1114,1471,11219,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранного языка №1291",1291,"школа",FALSE,"127411, г. Москва, улица Софьи Ковалевской , дом 18А","САО","Дмитровский",183,323,0
1115,1472,11220,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранного языка №1293",1293,"школа",FALSE,"121552 г.Москва, ул. Оршанская, д. 10, корп.1","ЗАО","Кунцево",775,373,1502.245519
1344,1772,11221,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранного языка и информационных технологий №1347",1347,"школа",FALSE,"119618 г.Москва, ул. Главмосстроя, д.28","ЗАО","Солнцево",820,283,1780.71567
1116,1473,11222,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранных языков №1205",1205,"школа",FALSE,"117335, г. Москва, улица Архитектора Власова, дом 19а","ЮЗАО","Черёмушки",599,311,2238.684409
1346,1775,11223,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1783 «Московский кадетский корпус Героев Космоса»",1783,"школа",FALSE,"129075, г. Москва, Аргуновская ул., д. 12, корп. 2, стр. 1, 2, 3","СВАО","Останкинский",824,,2835.662276
1345,1773,11224,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранных языков №1220",1220,"школа",FALSE,"129075, г. Москва, Аргуновская ул., д. 12, корп. 2, стр. 1, 2, 3","СВАО","Останкинский",824,246,4840.821228
1118,1476,11225,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №925",925,"школа",FALSE,"117546, г. Москва, Востряковский проезд, д.3А","ЮАО","Бирюлёво Западное",350,,0
1117,1474,11226,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранных языков №1242",1242,"школа",FALSE,"117546, г. Москва, Востряковский проезд, д.3А","ЮАО","Бирюлёво Западное",350,324,5536.455186
1119,1480,11227,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением немецкого языка №1258",1258,"школа",FALSE,"115054 г. Москва, 5-й Монетчиковский пер., д.7","ЦАО","Замоскворечье",23,,0
1121,1482,11228,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского языка №1288",1288,"школа",FALSE,"125007, г. Москва, Хорошевское шоссе, дом 3","САО","Хорошёвский",134,229,2548.551442
1120,1481,11229,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением французского языка №1244",1244,"школа",FALSE,"125007, г. Москва, Хорошевское шоссе, дом 3","САО","Хорошёвский",134,,0
1122,1483,11230,"Государственное бюджетное образовательное учреждение города Москвы кадетская школа №1700 «Московский объединенный морской корпус Героев Севастополя»",1700,"кадетская школа",FALSE,"123458, г. Москва, ул. Твардовского, д. 20","СЗАО","Строгино",869,,5187.975665
