"ID","NAME","NUMB","WEBSITE","TYPE","OKRUG","FOUNDATION","SCHOOLS_COUNT","STEP1","STEP2","STEP3","STUDENTS","STUDENTS_PER_SCHOOL","ASSIGNMENT_AREA_STUDENTS","ASSIGNMENT_AREA_STUDENTS_INTENDED"
185,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №727",727,"http://sch727s.mskobr.ru/","школа","Северный административный округ","присоединение",1,0,0,0,0,0,1341.777957,1341.777957
186,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1159",1159,"http://sch1159s.mskobr.ru/","школа","Северный административный округ","слияние",2,444,537,105,1086,543,2907.671446,1453.835723
187,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского языка №1224",1224,"http://sch2098s.mskobr.ru/","школа","Северный административный округ","присоединение",2,1346,1391,296,3033,1516.5,3148.503706,1574.251853
188,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1474",1474,"http://sch1474s.mskobr.ru/","школа","Северный административный округ","присоединение",5,1475,1572,329,3376,675.2,14132.341505,2826.468301
189,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №2099",2099,"http://sch2099.mskobr.ru/","школа","Северный административный округ","слияние",2,229,298,82,609,304.5,2348.156012,1174.078006
190,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №158",158,"http://sch158s.mskobr.ru/","школа","Северный административный округ","присоединение",2,501,465,83,1049,524.5,3988.060106,1994.030053
191,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №141",141,"http://sch141s.mskobr.ru/","школа","Северный административный округ","слияние",2,445,502,157,1104,552,2203.457596,1086.7099173333
192,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №218",218,"http://sch218.mskobr.ru/","школа","Северный административный округ","слияние",1,370,402,129,901,901,263.197003,263.197003
193,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением французского языка №1251 имени генерала Шарля де Голля",1251,"http://sch1251s.mskobr.ru/","школа","Северный административный округ","присоединение",3,651,787,205,1643,547.6666666667,6131.524524,1532.881131
194,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №167 имени Маршала Л.А. Говорова",167,"http://sch167s.mskobr.ru/","школа","Северный административный округ","присоединение",2,519,596,133,1248,624,4246.51491,2110.4463885
195,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского языка №1250 ",1250,"http://sch1250s.mskobr.ru/","школа","Северный административный округ","присоединение",1,362,305,80,747,747,963.642098,481.821049
197,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №597 ",597,"http://sch597s.mskobr.ru/","школа","Северный административный округ","присоединение",1,315,364,62,741,741,1395.447561,697.7237805
198,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №224 ",224,"http://sch224s.mskobr.ru/","школа","Северный административный округ","присоединение",1,238,281,97,616,616,963.642098,481.821049
200,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1631 ",1631,"http://sch1631s.mskobr.ru/","школа","Северный административный округ","слияние",2,526,591,134,1251,625.5,2876.976532,958.9921773333
