"OBJECTID_1";"ID";"NAME";"NUMB";"WEBSITE";"TYPE";"OKRUG";"FOUNDATION";"SCHOOLS_COUNT";"STEP1";"STEP2";"STEP3"
22;41,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №2095 «Покровский квартал»";2095,000000;"http://sch2095c.mskobr.ru/";"школа";"ЦАО";"слияние";7,000000;871,000000;1086,000000;483,000000
23;42,000000;"Государственное бюджетное образовательное учреждение города Москвы лицей №1799 «Многопрофильный лицей»";1799,000000;"http://lic1799.mskobr.ru/";"лицей";"ЦАО";"слияние";6,000000;568,000000;924,000000;669,000000
24;44,000000;"Государственное бюджетное образовательное учреждение города Москвы лицей №1500 «Пушкинский»";1500,000000;"http://lycc1500.mskobr.ru/";"лицей";"ЦАО";"присоединение";4,000000;481,000000;622,000000;276,000000
25;45,000000;"Государственное бюджетное образовательное учреждение города Москвы лицей №1574";1574,000000;"http://lyc1574.mskobr.ru/";"лицей";"ЦАО";"присоединение";4,000000;585,000000;1005,000000;487,000000
26;46,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №480 имени В.В. Талалихина ";480,000000;"http://sch480c.mskobr.ru/";"школа";"ЦАО";"присоединение";2,000000;428,000000;512,000000;96,000000
27;47,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранных языков №1240 «Мультипрофильный образовательный комплекс «Пресненский»";1240,000000;"http://sch1240.mskobr.ru/";"школа";"ЦАО";"слияние";3,000000;499,000000;600,000000;204,000000
28;48,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №345 имени А.С. Пушкина";345,000000;"http://sch345.mskobr.ru/";"школа";"ЦАО";"слияние";2,000000;369,000000;446,000000;136,000000
29;49,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранного (английского) языка №1241";1241,000000;"http://sch1241.mskobr.ru/";"школа";"ЦАО";"присоединение";2,000000;564,000000;477,000000;86,000000
30;50,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №2030 ";2030,000000;"http://coc2030.mskobr.ru/";"школа";"ЦАО";"присоединение";1,000000;481,000000;553,000000;170,000000
31;51,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углублённым изучением английского языка №1285";1285,000000;"http://sch1285sz.mskobr.ru/";"школа";"СЗАО";"присоединение";4,000000;660,000000;798,000000;191,000000
32;55,000000;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1517";1517,000000;"http://gym1517sz.mskobr.ru/";"гимназия";"СЗАО";"присоединение";6,000000;1434,000000;1686,000000;435,000000
33;57,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1155";1155,000000;"http://sch1155sz.mskobr.ru/";"школа";"СЗАО";"присоединение";1,000000;352,000000;294,000000;46,000000
34;60,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранных языков №1399 ";1399,000000;"http://schu1399.mskobr.ru/";"школа";"СЗАО";"присоединение";1,000000;285,000000;331,000000;106,000000
35;61,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1874";1874,000000;"http://sch1874sz.mskobr.ru/";"школа";"СЗАО";"слияние";3,000000;639,000000;659,000000;182,000000
36;62,000000;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1538";1538,000000;"http://gym1538sz.mskobr.ru/";"гимназия";"СЗАО";"присоединение";4,000000;1064,000000;1230,000000;319,000000
37;63,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №830";830,000000;"http://sch830sz.mskobr.ru/";"школа";"СЗАО";"слияние";3,000000;578,000000;573,000000;112,000000
38;77,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №827";827,000000;"http://sch827sz.mskobr.ru/";"школа";"СЗАО";"присоединение";2,000000;725,000000;714,000000;123,000000
