"ID","SCHOOL_ID","NAME","NUMB","CURRENT_USE","ADDRESS","OKRUG","RAYON","POINT_X","POINT_Y"
248,10248,"Государственное бюджетное образовательное учреждение города Москвы прогимназия №1644",1644,"","117461, г.Москва, ул. Херсонская, д. 5, корп. 1","ЮЗАО","Зюзино",37.572385,55.649944
249,10249,"Государственное бюджетное образовательное учреждение города Москвы прогимназия №1661",1661,"начальная школа","127486, г. Москва, Коровинское шоссе, дом 14 А","САО","Дмитровский",37.530593,55.874047
250,10250,"Государственное бюджетное образовательное учреждение города Москвы прогимназия №1672",1672,"начальная школа","125252,  г. Москва, улица Алабяна, дом 15","САО","Сокол",37.505131,55.797599
251,10251,"Государственное бюджетное образовательное учреждение города Москвы прогимназия №1723",1723,"","119571 г.Москва, Ленинский проспект, д. 156, корпус 2","ЗАО","Тропарёво-Никулино",37.485594,55.653627
252,10252,"Государственное бюджетное образовательное учреждение города Москвы прогимназия №1728",1728,"начальная школа","119620 г.Москва, ул. Авиаторов, д.28","ЗАО","Солнцево",37.408218,55.642369
253,10253,"Государственное бюджетное образовательное учреждение города Москвы прогимназия №1733",1733,"начальная школа","119311, Москва, ул. Крупской, д.10","ЮЗАО","Ломоносовский",37.528371,55.686236
254,10254,"Государственное бюджетное образовательное учреждение города Москвы прогимназия №1736",1736,"","115580 г.Москва, ул.Мусы Джалиля, д.29,к.3","ЮАО","Зябликово",37.747264,55.616781
255,10255,"Государственное бюджетное образовательное учреждение города Москвы прогимназия №1753",1753,"начальная школа","111538 город Москва ул. Молдагуловой 30Б","ВАО","Вешняки",37.827946,55.71907
256,10256,"Государственное бюджетное образовательное учреждение города Москвы прогимназия №1754",1754,"","119415 г.Москва, Проспект Вернадского, д. 55","ЗАО","Проспект Вернадского",37.504455,55.672814
257,10257,"Государственное бюджетное образовательное учреждение города Москвы прогимназия №1774",1774,"начальная школа","125130, г. Москва, 3-ий Новоподмосковный переулок, дом 7, строение 1","САО","Войковский",37.511264,55.8197
258,10258,"Государственное бюджетное образовательное учреждение города Москвы прогимназия №1779",1779,"начальная школа","129323, г. Москва, ул. Седова, д.12","СВАО","Свиблово",37.638663,55.853008
259,10259,"Государственное бюджетное образовательное учреждение города Москвы прогимназия №1782",1782,"начальная школа","125310, г. Москва, ул. Барышиха, д. 42, корп. 1","СЗАО","Митино",37.345821,55.854661
260,10260,"Государственное бюджетное образовательное учреждение города Москвы прогимназия №1819",1819,"начальная школа","127572, г. Москва, ул. Абрамцевская, д. 24, корп. 2","СВАО","Лианозово",37.575923,55.904643
261,10261,"Государственное бюджетное образовательное учреждение города Москвы прогимназия №1826",1826,"начальная школа","127540 г. Москва, улица Дубнинская, дом 14 Б","САО","Восточное Дегунино",37.567573,55.866679
262,10262,"Государственное бюджетное образовательное учреждение города Москвы прогимназия №1882",1882,"начальная школа","109444, г. Москва ул. Ферганская, д. 16, корп. 3","ЮВАО","Выхино-Жулебино",37.811775,55.705369
263,10263,"Государственное бюджетное образовательное учреждение города Москвы прогимназия №1749",1749,"начальная школа","105215, г. Москва, улица 13-я Парковая, дом 29","ВАО","Северное Измайлово",37.810743,55.806205
264,10264,"Государственное бюджетное образовательное учреждение города Москвы прогимназия №1752",1752,"","107014, г. Москва, ул. Большая  Остроумовская,  дом 7","ВАО","Сокольники",37.68523,55.793127
265,10265,"Государственное бюджетное образовательное учреждение города Москвы центр образования №1461",1461,"1 - 9 классы","101000 г.Москва, Милютинский пер., д.18, стр.2","ЦАО","Красносельский",37.632508,55.769095
266,10266,"Государственное бюджетное образовательное учреждение города Москвы лицей №1500 «Пушкинский»",1500,"10 - 11 классы","101000 г.Москва, Милютинский пер., д.18, стр.2","ЦАО","Красносельский",37.633649,55.764733
267,10267,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с этнокультурным (национальным) компонентом образования №1650",1650,"","109240, г. Москва, ул. Солянка, дом 14А","ЦАО","Таганский",37.637364,55.75233
268,10268,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1121",1121,"","127247, г. Москва, Бескудниковский бульвар, дом 50б","САО","Бескудниковский",37.541594,55.875476
269,10269,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа здоровья» №668 имени Героя Советского Союза В.П.Кислякова",668,"","127644, г. Москва, Вагоноремонтная улица, дом 15-А","САО","Дмитровский",37.532761,55.896528
270,10270,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1011",1011,"","119620 г.Москва, ул. Щорса, д. 6, корпус 1","ЗАО","Солнцево",37.401337,55.646224
271,10271,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1195",1195,"","121354 г.Москва, ул. Дорогобужская, д.13","ЗАО","Можайский",37.415939,55.71633
272,10272,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1914",1914,"","111673, г. Москва, ул. Суздальская, д. 12В, стр. 1.","ВАО","Новокосино",37.85052,55.739056
273,10273,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №648",648,"средняя школа","125581, г. Москва ул. Флотская, д. 11","САО","Ховрино",37.501793,55.855444
274,10274,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №706",706,"","125252, г. Москва, Песчаный пер., д. 6","САО","Сокол",37.508309,55.799792
275,10275,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №2077",2077,"начальная школа","123060, Москва, улица Маршала Конева, дом 10.","СЗАО","Щукино",37.490867,55.801333
276,10276,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа здоровья» №738",738,"","123060, Москва, улица Маршала Конева, дом 10.","СЗАО","Щукино",37.488587,55.797269
277,10277,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №702",702,"","123060, Москва, улица Маршала Конева, дом 10.","СЗАО","Щукино",37.486314,55.794652
278,10278,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №703",703,"","123060, Москва, улица Маршала Конева, дом 10.","СЗАО","Щукино",37.498274,55.791593
279,10279,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа здоровья» №357",357,"","105484, г. Москва, Сиреневый бульвар, дом 55","ВАО","Северное Измайлово",37.81478,55.808384
280,10280,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №356 имени Н.З.Коляды",356,"","105484, г. Москва, Сиреневый бульвар, дом 55","ВАО","Северное Измайлово",37.815406,55.803905
281,10281,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа здоровья» №1013",1013,"","119633 г. Москва, ул. Приречная, д.3","ЗАО","Ново-Переделкино",37.371615,55.642629
282,10282,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа здоровья» №1025",1025,"","111672, г. Москва, ул. Новокосинская,  д.  42А","ВАО","Новокосино",37.874114,55.741628
283,10283,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа здоровья» №1029",1029,"","127540 г. Москва, ул. Дубнинская, д. 18 б","САО","Восточное Дегунино",37.567689,55.870178
284,10284,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа здоровья» №1061",1061,"","121351 г.Москва, ул.Молодогвардейская, д. 19, корпус 2","ЗАО","Кунцево",37.422032,55.732322
285,10285,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа здоровья» №1065",1065,"","117624, г.Москва, ул. Скобелевская, дом 28","ЮЗАО","Южное Бутово",37.553789,55.544797
286,10286,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа здоровья» №1084",1084,"","109145, г.Москва ул. Привольная, д. 17, корп.1","ЮВАО","Выхино-Жулебино",37.840538,55.698704
287,10287,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа здоровья» №1115",1115,"","117209, г.Москва, ул. Перекопская, д.28","ЮЗАО","Черёмушки",37.570382,55.661684
288,10288,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа здоровья» №1136",1136,"начальная школа","123181, г. Москва, ул. Кулакова, д. 3, к. 1","СЗАО","Строгино",37.401723,55.814437
289,10289,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа здоровья» №1159",1159,"","125413, г. Москва, Солнечногорский проезд, д. 7","САО","Головинский",37.523113,55.859224
290,10290,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа здоровья» №1321 «Ковчег»",1321,"","111024, г.Москва Авиамоторная ул., д. 30а","ЮВАО","Лефортово",37.71931,55.744669
291,10291,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа здоровья» №1349",1349,"","107370, г. Москва, Открытое ш., д.6, стр.12","ВАО","Богородское",37.722899,55.815447
