"ID","WALKING_DURATION_215","WALKING_DISTANCE_215"
"1296","2451","3419"
"1297","3104","4314"
"1298","2889","4002"
"1299","2828","3921"
"1300","2938","4080"
"1301","2909","4031"
"1302","2874","3975"
"1303","2887","3992"
"1304","2802","3870"
"1305","2735","3779"
"1306","2688","3718"
"1307","2638","3661"
"1308","2696","3734"
"1309","2597","3603"
"1310","2449","3392"
"1311","2353","3249"
"1312","2360","3253"
"1313","2195","3020"
"1314","3207","4459"
"1315","2128","2928"
"1316","2082","2859"
"1317","2015","2763"
"1318","2077","2850"
"1319","2077","2850"
"1320","2072","2842"
"1321","2000","2744"
"1322","1895","2597"
"1323","1867","2557"
"1324","1864","2545"
"1325","1780","2440"
"1326","3187","4432"
"1327","3145","4372"
"1328","2413","3377"
"1329","2401","3360"
"1330","2213","3083"
"1331","2194","3047"
"1332","2741","3801"
"1333","2741","3801"
"1334","2967","4140"
"1335","2755","3830"
"1336","2792","3877"
"1337","2698","3757"
"1338","3372","4747"
"1339","2769","3843"
"1340","2639","3673"
"1341","2657","3696"
"1342","2660","3680"
"1343","2578","3561"
"1344","2587","3596"
"1345","2538","3517"
"1346","3254","4580"
"1347","3272","4592"
"1348","2496","3447"
"1349","2496","3448"
"1350","2427","3358"
"1351","2446","3382"
"1352","2476","3426"
"1353","2422","3350"
"1354","2415","3326"
"1355","2450","3377"
"1356","2309","3202"
"1357","2267","3139"
"1358","2188","3029"
"1359","2165","3005"
"1360","3228","4532"
"1361","3329","4669"
"1362","2129","2954"
"1363","2065","2863"
"1364","2069","2865"
"1365","1999","2787"
"1366","3321","4670"
"1367","1970","2723"
"1368","2037","2835"
"1369","1903","2629"
"1370","1888","2626"
"1371","1895","2617"
"1372","1858","2581"
"1373","1796","2482"
"1374","1828","2537"
"1375","3179","4469"
"1376","1789","2472"
"1377","1711","2365"
"1378","1748","2415"
"1379","3171","4409"
"1380","3126","4346"
"1381","3083","4286"
"1382","3006","4180"
"1383","2903","4038"
"1384","2355","3290"
"1385","2257","3162"
"1386","2208","3094"
"1387","2184","3043"
"1388","2147","2989"
"1389","2009","2789"
"1390","2050","2843"
"1391","2037","2823"
"1392","1932","2679"
"1393","1979","2740"
"1394","1687","2328"
"1395","1577","2168"
"1396","1575","2160"
"1397","1615","2213"
"1398","1670","2287"
"1399","1333","1840"
"1400","1490","2043"
"1401","1553","2130"
"1402","1407","1939"
"1403","2625","3654"
"1404","2603","3624"
"1405","2678","3728"
"1406","2792","3881"
"1407","2743","3807"
"1408","2696","3748"
"1409","1262","1744"
"1410","1172","1611"
"1411","3037","4213"
"1412","3043","4227"
"1413","2501","3488"
"1414","2401","3358"
"1415","1796","2489"
"1416","1765","2447"
"1417","1766","2450"
"1418","2410","3372"
"1419","2566","3562"
"1420","2569","3565"
"1421","2644","3660"
"1422","2645","3661"
"1423","2444","3410"
"1424","2413","3372"
"1425","2433","3395"
"1426","2485","3464"
"1427","2561","3569"
"1428","2450","3418"
"1429","2451","3419"
"1430","3104","4314"
"1431","2889","4002"
"1432","2828","3921"
"1433","2938","4080"
"1434","2909","4031"
