"ID","WALKING_DURATION","WALKING_DISTANCE"
"1262","2624","3523"
"1263","2511","3360"
"1264","2474","3307"
"1265","2472","3303"
"1266","2488","3360"
"1267","2497","3342"
"1268","2434","3256"
"1269","2410","3233"
"1270","3492","4766"
"1271","3467","4733"
"1272","3556","4857"
"1273","3597","4905"
"1274","3471","4724"
"1275","3481","4744"
"1276","2417","3264"
"1277","2327","3132"
"1278","3951","5389"
"1279","3956","5403"
"1280","3504","4788"
"1281","3376","4624"
"1282","2999","4064"
"1283","2968","4022"
"1284","2969","4024"
"1285","3180","4352"
"1286","3054","4148"
"1287","3052","4145"
"1288","3024","4097"
"1289","3025","4098"
"1290","3047","4153"
"1291","3110","4252"
"1292","3194","4367"
"1293","3246","4435"
"1294","3000","4095"
"1295","3107","4245"
"1296","3108","4246"
"1297","3616","4930"
"1298","3329","4524"
"1299","3390","4608"
"1300","3270","4451"
"1301","3322","4514"
"1302","3174","4302"
"1303","3176","4305"
"1304","3103","4201"
"1305","3116","4216"
"1306","3068","4155"
"1307","2856","3875"
"1308","2820","3836"
"1309","2721","3705"
"1310","2580","3501"
"1311","2484","3358"
"1312","2492","3362"
"1313","2364","3169"
"1314","3753","5123"
"1315","2297","3072"
"1316","2262","3024"
"1317","2191","2926"
"1318","2266","3031"
"1319","2266","3031"
"1320","2203","2951"
"1321","2131","2852"
"1322","2063","2751"
"1323","2028","2701"
"1324","2106","2801"
"1325","2112","2804"
"1326","3714","5070"
"1327","3672","5010"
"1328","3522","4817"
"1329","3511","4801"
"1330","3312","4512"
"1331","3280","4459"
"1332","3256","4423"
"1333","3256","4423"
"1334","4076","5571"
"1335","3845","5258"
"1336","3901","5308"
"1337","3788","5185"
"1338","4481","6178"
"1339","3878","5274"
"1340","3748","5104"
"1341","3740","5112"
"1342","3769","5111"
"1343","3688","4993"
"1344","3671","5013"
"1345","3647","4948"
"1346","4363","6011"
"1347","4381","6023"
"1348","3605","4888"
"1349","3605","4879"
"1350","3537","4789"
"1351","3555","4823"
"1352","3586","4857"
"1353","3531","4781"
"1354","3501","4738"
"1355","3536","4789"
"1356","3418","4633"
"1357","3380","4577"
"1358","3301","4467"
"1359","3281","4448"
"1360","4338","5963"
"1361","4438","6100"
"1362","3244","4397"
"1363","3269","4440"
"1364","3273","4442"
"1365","3203","4362"
"1366","4431","6101"
"1367","3144","4270"
"1368","3240","4410"
"1369","3077","4176"
"1370","3092","4201"
"1371","3098","4192"
"1372","3061","4156"
