"OBJECTID";"ADDRESS";"settlement";"street";"building_n";"geocoded";"ID";"POINT_X";"POINT_Y";"NEAR_FID";"NEAR_DIST";"NEAR_X";"NEAR_Y"
3594;"Москва, Земляной Вал ул, д.30, стр.3";" ";" ";" ";"Россия, Москва, улица Земляной Вал, 30с3";11049;37,656739;55,757712;884;0,003023;37,655580;55,760505
3595;"Москва, Земляной Вал ул, д.30, стр.7";" ";" ";" ";"Россия, Москва, улица Земляной Вал, 30с7";11050;37,656901;55,757773;884;0,003033;37,655580;55,760505
3596;"Москва, Земляной Вал ул, д.32";" ";" ";" ";"Россия, Москва, улица Земляной Вал, 32";11051;37,657071;55,757040;1574;0,003548;37,655479;55,753869
3597;"Москва, Земляной Вал ул, д.32А";" ";" ";" ";"Россия, Москва, улица Земляной Вал, 32а";11052;37,655310;55,756674;1574;0,002811;37,655479;55,753869
3598;"Москва, Земляной Вал ул, д.34, стр.1";" ";" ";" ";"Россия, Москва, улица Земляной Вал, 34с2";11053;37,654277;55,757535;1723;0,003096;37,651526;55,758956
3599;"Москва, Земляной Вал ул, д.34, стр.11";" ";" ";" ";"Россия, Москва, улица Земляной Вал, 34с11";11054;37,655284;55,756507;1574;0,002646;37,655479;55,753869
3600;"Москва, Земляной Вал ул, д.34, стр.3А";" ";" ";" ";"Россия, Москва, улица Земляной Вал, 34с3а";11055;37,657071;55,756836;1574;0,003368;37,655479;55,753869
3601;"Москва, Земляной Вал ул, д.34, стр.4";" ";" ";" ";"Россия, Москва, улица Земляной Вал, 34с4";11056;37,656568;55,756193;1574;0,002567;37,655479;55,753869
3602;"Москва, Земляной Вал ул, д.34А, стр.1";" ";" ";" ";"Россия, Москва, улица Земляной Вал, 34ас1";11057;37,655426;55,755939;1574;0,002071;37,655479;55,753869
3603;"Москва, Земляной Вал ул, д.34А, стр.2";" ";" ";" ";"Россия, Москва, улица Земляной Вал, 34ас2";11058;37,655499;55,756498;1574;0,002629;37,655479;55,753869
