"ID","WALKING_DURATION","WALKING_DISTANCE"
"1266","1053","1393"
"1267","985","1316"
"1268","1049","1402"
"1269","1013","1361"
"1270","1051","1436"
"1271","1028","1407"
"1272","1103","1511"
"1273","1217","1666"
"1274","1177","1600"
"1275","1130","1541"
"1276","1197","1592"
"1277","1264","1678"
"1278","1127","1532"
"1279","1133","1545"
"1280","860","1171"
"1281","853","1181"
"1282","1021","1353"
"1283","1059","1406"
"1284","1095","1457"
"1285","856","1186"
"1286","998","1360"
"1287","1001","1363"
"1288","1076","1458"
"1289","1077","1459"
"1290","877","1208"
"1291","846","1170"
"1292","879","1210"
"1293","930","1278"
"1294","994","1366"
"1295","883","1216"
"1296","883","1216"
"1297","1454","1989"
"1298","1318","1789"
"1299","1258","1708"
"1300","1367","1866"
"1301","1324","1798"
"1302","1300","1757"
"1303","1312","1774"
"1304","1235","1667"
"1305","1168","1577"
"1306","1120","1516"
"1307","1071","1459"
"1308","1185","1623"
"1309","1086","1492"
"1310","1102","1506"
"1311","1206","1646"
"1312","1094","1484"
"1313","1098","1475"
"1314","1557","2134"
"1315","1171","1572"
"1316","1315","1758"
"1317","1327","1773"
"1318","1375","1838"
"1319","1375","1838"
"1320","1303","1749"
"1321","1373","1847"
"1322","1397","1871"
"1323","1429","1913"
"1324","1426","1902"
"1325","1513","2028"
"1326","1537","2107"
"1327","1495","2047"
"1328","202","288"
"1329","219","312"
"1330","256","344"
"1331","440","592"
"1332","1167","1583"
"1333","1167","1583"
"1334","618","845"
"1335","457","623"
"1336","490","658"
"1337","400","549"
"1338","1023","1452"
"1339","467","624"
"1340","470","639"
"1341","472","638"
"1342","598","781"
"1343","627","815"
"1344","471","638"
"1345","543","719"
"1346","905","1285"
"1347","923","1297"
"1348","603","795"
"1349","680","893"
"1350","773","1029"
"1351","610","811"
"1352","776","1032"
"1353","768","1021"
"1354","803","1064"
"1355","838","1115"
"1356","763","1022"
"1357","919","1232"
"1358","926","1242"
"1359","898","1207"
"1360","879","1237"
"1361","980","1374"
"1362","926","1250"
"1363","1155","1542"
"1364","1160","1544"
"1365","1020","1370"
"1366","972","1375"
"1367","1214","1619"
"1368","1058","1418"
"1369","1258","1677"
"1370","1136","1519"
"1371","1345","1797"
"1372","1170","1565"
"1373","1412","1893"
"1374","1203","1608"
"1375","830","1174"
"1376","1412","1893"
"1377","1404","1883"
"1378","1457","1952"
"1379","1521","2084"
"1380","1476","2021"
"1381","1433","1961"
"1382","1356","1855"
"1383","1253","1713"
"1384","801","1105"
"1385","709","985"
"1386","660","917"
"1387","434","585"
"1388","397","531"
"1389","428","572"
"1390","409","545"
"1391","392","520"
"1392","412","550"
"1393","371","490"
"1394","790","1054"
"1395","837","1115"
"1396","970","1295"
"1397","1010","1348"
"1398","1096","1465"
"1399","1053","1393"
"1400","985","1316"
"1401","1049","1402"
"1402","1013","1361"
"1403","1051","1436"
"1404","1028","1407"
"1405","1103","1511"
"1406","1217","1666"
"1407","1177","1600"
"1408","1130","1541"
"1409","1197","1592"
"1410","1264","1678"
"1411","1127","1532"
"1412","1133","1545"
"1413","860","1171"
"1414","853","1181"
"1415","1021","1353"
"1416","1059","1406"
"1417","1095","1457"
"1418","856","1186"
"1419","998","1360"
"1420","1001","1363"
"1421","1076","1458"
"1422","1077","1459"
"1423","877","1208"
"1424","846","1170"
"1425","879","1210"
"1426","930","1278"
"1427","994","1366"
"1428","883","1216"
"1429","883","1216"
