OBJECTID;ADDRESS;ID;POINT_X;POINT_Y;NEAR_FID;NEAR_DIST;NEAR_X;NEAR_Y;NEAR_FC
3905;Москва, Онежская ул, д.18/1;44069;37.520563;55.850651;80;0.005481;37.516615;55.846849;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
3906;Москва, Онежская ул, д.18/3;44070;37.520563;55.850651;80;0.005481;37.516615;55.846849;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
3907;Москва, Онежская ул, д.19;44071;37.517742;55.852136;80;0.005406;37.516615;55.846849;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
3908;Москва, 1-й Лихачёвский пер, д.4, корп.1;44072;37.519808;55.844318;80;0.004074;37.516615;55.846849;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
3909;Москва, 1-й Лихачёвский пер, д.4, корп.2;44073;37.518855;55.844555;80;0.003206;37.516615;55.846849;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
3910;Москва, 1-й Лихачёвский пер, д.4, корп.2А;44074;37.518352;55.844712;80;0.002753;37.516615;55.846849;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
3911;Москва, 1-й Лихачёвский пер, д.4, корп.3;44075;37.518731;55.845333;80;0.002602;37.516615;55.846849;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
3912;Москва, 1-й Лихачёвский пер, д.4А;44076;37.519494;55.844814;80;0.003525;37.516615;55.846849;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
3913;Москва, 1-й Лихачёвский пер, д.6;44077;37.517868;55.845278;80;0.002008;37.516615;55.846849;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
3914;Москва, 1-й Лихачёвский пер, д.8;44078;37.51784;55.846082;80;0.001446;37.516615;55.846849;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
3915;Москва, 2-й Лихачёвский пер, д.2;44079;37.522764;55.844834;80;0.00647;37.516615;55.846849;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
3916;Москва, 2-й Лихачёвский пер, д.2А;44080;37.523411;55.844479;92;0.006934;37.527116;55.838618;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
3917;Москва, 2-й Лихачёвский пер, д.4;44081;37.524614;55.844869;92;0.006733;37.527116;55.838618;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
3918;Москва, 3-й Лихачёвский пер, д.1, корп.1;44082;37.514185;55.847689;80;0.002571;37.516615;55.846849;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
3919;Москва, 3-й Лихачёвский пер, д.1, корп.2;44083;37.514292;55.848497;80;0.002847;37.516615;55.846849;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
3920;Москва, 3-й Лихачёвский пер, д.2, корп.1;44084;37.514939;55.847279;80;0.001729;37.516615;55.846849;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
3921;Москва, 3-й Лихачёвский пер, д.2, корп.2;44085;37.515587;55.846895;80;0.001029;37.516615;55.846849;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
3922;Москва, 3-й Лихачёвский пер, д.2, корп.3;44086;37.516763;55.846047;80;0.000815;37.516615;55.846849;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
3923;Москва, 3-й Лихачёвский пер, д.3, корп.1;44087;37.515702;55.84815;80;0.001588;37.516615;55.846849;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
3924;Москва, 3-й Лихачёвский пер, д.3, корп.2;44088;37.515208;55.848852;80;0.002447;37.516615;55.846849;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
3925;Москва, 3-й Лихачёвский пер, д.3, корп.3;44089;37.51466;55.849139;80;0.003011;37.516615;55.846849;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
3926;Москва, 3-й Лихачёвский пер, д.3, корп.4;44090;37.514904;55.849463;80;0.003124;37.516615;55.846849;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
3927;Москва, 3-й Лихачёвский пер, д.5;44091;37.516745;55.84864;80;0.001795;37.516615;55.846849;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
