"OBJECTID";"ADDRESS";"settlement";"street";"building_n";"geocoded";"ID";"OBJECTID_1";"HOUSE_ID";"SCHOOL_ID";"POINT_X";"POINT_Y"
259;"Москва, Сверчков пер, д.3/2, стр.1";" ";" ";" ";"Россия, Москва, Сверчков переулок, 3/2с1";211;211;211;577;37,639033;55,760306
260;"Москва, Сверчков пер, д.3/2, стр.1";" ";" ";" ";"Россия, Москва, Сверчков переулок, 3/2с1";211;474;211;1125;37,639033;55,760306
261;"Москва, Сверчков пер, д.3/2, стр.1";" ";" ";" ";"Россия, Москва, Сверчков переулок, 3/2с1";211;737;211;727;37,639033;55,760306
262;"Москва, Сверчков пер, д.5";" ";" ";" ";"Россия, Москва, Сверчков переулок, 5";212;212;212;577;37,639500;55,760579
263;"Москва, Сверчков пер, д.5";" ";" ";" ";"Россия, Москва, Сверчков переулок, 5";212;475;212;1125;37,639500;55,760579
264;"Москва, Сверчков пер, д.5";" ";" ";" ";"Россия, Москва, Сверчков переулок, 5";212;738;212;727;37,639500;55,760579
268;"Москва, Чистопрудный бульв., д.12, корп.2";" ";" ";" ";"Россия, Москва, Чистопрудный бульвар, 12к2";247;247;247;577;37,643119;55,760752
269;"Москва, Чистопрудный бульв., д.12, корп.2";" ";" ";" ";"Россия, Москва, Чистопрудный бульвар, 12к2";247;510;247;1125;37,643119;55,760752
270;"Москва, Чистопрудный бульв., д.12, корп.2";" ";" ";" ";"Россия, Москва, Чистопрудный бульвар, 12к2";247;773;247;727;37,643119;55,760752
271;"Москва, Чистопрудный бульв., д.12, корп.3";" ";" ";" ";"Россия, Москва, Чистопрудный бульвар, 12к3";248;248;248;577;37,642086;55,761234
272;"Москва, Чистопрудный бульв., д.12, корп.3";" ";" ";" ";"Россия, Москва, Чистопрудный бульвар, 12к3";248;511;248;1125;37,642086;55,761234
273;"Москва, Чистопрудный бульв., д.12, корп.3";" ";" ";" ";"Россия, Москва, Чистопрудный бульвар, 12к3";248;774;248;727;37,642086;55,761234
274;"Москва, Чистопрудный бульв., д.12, корп.4";" ";" ";" ";"Россия, Москва, Чистопрудный бульвар, 12к4";249;249;249;577;37,643317;55,761101
275;"Москва, Чистопрудный бульв., д.12, корп.4";" ";" ";" ";"Россия, Москва, Чистопрудный бульвар, 12к4";249;512;249;1125;37,643317;55,761101
276;"Москва, Чистопрудный бульв., д.12, корп.4";" ";" ";" ";"Россия, Москва, Чистопрудный бульвар, 12к4";249;775;249;727;37,643317;55,761101
